ID Adicional1,Item
86715,"PP"
86716,"P"
86717,"M"
86718,"G"
86719,"GG"
86720,"EG"
86721,"XG"
86722,"1"
86723,"2"
86724,"3"
86725,"4"
86726,"6"
86727,"8"
86728,"10"
86729,"12"
86730,"14"
86731,"16"
86732,"32"
86733,"34"
86734,"35"
86735,"36"
86736,"37"
86737,"38"
86738,"39"
86739,"40"
86740,"41"
86741,"42"
86742,"44"
86743,"46"
86744,"48"
86745,"50"
86746,"52"
86747,"54"
86748,"56"
86749,"58"
86750,"60"
86751,"1X/2X"
86752,"21/22"
86753,"22/27"
86754,"23/24"
86755,"23/26"
86756,"25/26"
86757,"27/28"
86758,"27/30"
86759,"28/33"
86760,"29/30"
86761,"2EG"
86762,"2XL"
86763,"31/32"
86764,"31/34"
86765,"33/34"
86766,"33/36"
86767,"33/38"
86769,"34/35"
86770,"34/36"
86771,"34/39"
86772,"35/36"
86773,"35/37"
86774,"35/38"
86775,"35/39"
86776,"35/40"
86777,"35/41"
86780,"36/37"
86781,"36/39"
86782,"36B"
86783,"37/38"
86784,"37/39"
86785,"37/40"
86786,"37/44"
86789,"38/39"
86790,"38/40"
86791,"38/43"
86793,"39/40"
86794,"39/41"
86795,"39/43"
86796,"39/44"
86798,"3EG"
86799,"3X"
86800,"3-4XL"
86801,"30"
86802,"32B"
86806,"40A"
86807,"40B"
86808,"40C"
86809,"40D"
86810,"40/41"
86811,"40/42"
86812,"41/42"
86813,"41/43"
86814,"41/44"
86820,"42A"
86821,"42B"
86822,"42C"
86823,"42D"
86824,"42DD"
86825,"42/43"
86826,"42/44"
86827,"43/44"
86828,"43/45"
86832,"44A"
86833,"44B"
86834,"44C"
86835,"44D"
86836,"44DD"
86838,"46A"
86839,"46B"
86840,"46C"
86841,"46D"
86844,"48 (GG)"
86845,"48A"
86846,"48B"
86847,"48C"
86848,"48D"
86849,"4EG"
86851,"50B"
86852,"50C"
86854,"5X"
86855,"5-6XL"
86856,"A"
86861,"B"
86877,"C"
86939,"D"
86942,"EEG"
86952,"EGG"
86981,"EXG"
86982,"EXGG"
87002,"G (50)"
87003,"G (52)"
87004,"G/EG"
87005,"G/GG"
87006,"G/XG"
87007,"G+"
87010,"GG (52 a 54)"
87011,"GG (52)"
87014,"L"
87018,"M (2)"
87037,"M (U)"
87038,"M (48)"
87039,"M/G"
87042,"ML"
87043,"P (1)"
87055,"P/M"
87063,"S"
87065,"S/M"
87066,"SG"
87145,"U (33/38)"
87147,"U (M)"
87148,"ÚNICO"
87170,"XG2"
87171,"XG3"
87172,"XGG"
87173,"XL"
87175,"XP/P"
87176,"XS"
87177,"XXG"
87178,"XXGG"
87179,"40 taça DD"
87180,"44 (M)"
88029,"34B"
88377,"50/EG"
88378,"50/XG"
88409,"Q (Queen)"
88461,"M/L"
88464,"40DD"
88465,"46DD"
88474,"PLUS"
88475,"45/49"
88478,"34/38"
88479,"40/43"
88480,"45/50"
88501,"45/48"
88503,"48G"
88504,"48M"
88533,"3X/4X"
88535,"2 (M)"
88536,"3 (G)"
88537,"4 (GG)"
88615,"EE"
88616,"ES"
88702,"44M"
90177,"GG1"
90851,"150ml"
90852,"130ml"
90853,"90g"
90854,"18g"
90855,"60ml"
90856,"190ml"
90857,"80ml"
90858,"35ml"
90859,"30ml"
90860,"77g"
90861,"230g"
90862,"45g"
90863,"50ml"
90864,"200ml"
90865,"100g"
90866,"5ml"
90867,"120g"
91809,"160ml"
91810,"60g"
92081,"38C"
92082,"38D"
92083,"38DD"
92085,"38B"
92086,"38F"
93156,"U (35/38)"
93168,"U (39/43)"
93171,"P (23/26)"
93172,"M (27/30)"
93173,"G (31/34)"
94071,"U (36/39)"
94074,"U (34/39)"
94292,"P/40"
94293,"M/42"
94294,"G/44"
94295,"GG/46"
95126,"42F"
95128,"44F"
95129,"42G"
95158,"40F"
95518,"U (39/44)"
95931,"G (39/44)"
95957,"Bebê"
97659,"U (45/50)"
97661,"M (33/38)"
97669,"M (37/40)"
97670,"G (41/44)"
98640,"52C"
99040,"EG1"
99041,"EG2"
99042,"EG3"
99578,"44/48"
101151,"EG (45/48)"
101152,"M (34/38)"
101153,"EG (45/50)"
101406,"30 a 35 (8/10)"
101407,"24 a 29 (4/6)"
101746,"50D"
101793,"40G"
103438,"18"
103686,"U (35/40)"
103729,"M (40/42)"
103730,"G (44/46)"
103833,"1/2"
103834,"3/4"
104173,"P (42)"
104174,"M (44)"
105345,"L/XL"
107013,"XXXG"
107995,"31/33"
107996,"28/30"
108004,"BB"
108010,"16/18"
108011,"19/23"
108112,"GG2"
108113,"GG3"
108195,"RN"
108211,"P1"
108212,"P2"
108213,"M1"
108214,"M2"
108215,"G1"
108216,"G2"
108218,"G (42/44)"
108219,"M (39/41)"
108222,"P3"
108223,"M3"
108224,"G3"
108226,"E"
108247,"18/20"
108248,"21/23"
108249,"24/26"
108250,"27/29"
108295,"F"
108520,"U (38/43)"
108589,"43"
109213,"50A"
109214,"52A"
109215,"54A"
109216,"56A"
109217,"52B"
109218,"54C"
109219,"54B"
109220,"56B"
109221,"52D"
109222,"GGG"
111274,"GGGG"
111398,"G (46)"
111871,"1x"
111872,"2x"
112149,"M (39 a 44)"
112158,"G (35/39)"
112218,"G (45/48)"
112219,"4/6"
112220,"8/10"
112416,"EGGG"
114072,"P (27 a 32)"
115368,"M (41/44)"
115563,"00(16 a 18)"
115607,"0(19 a 23)"
115713,"36/38"
116611,"M (30/35)"
117746,"45/46"
118132,"G (36/39)"
119986,"U (34/40)"
120153,"GG (54)"
120872,"G (39/43)"
121036,"3XL"
121037,"4XL"
121039,"5XL"
121040,"6XL"
121186,"Juvenil"
122623,"GG (48)"
123770,"G (30 a 35)"
124423,"34/35/36"
124424,"37/38/39"
124777,"01"
124778,"02"
124795,"M (34/37)"
124797,"G (38/41)"
125387,"42 (P)"
125388,"46 (G)"
125401,"10 (36/38)"
125402,"11 (39/41)"
125403,"12 (42/44)"
125668,"G (41/45)"
125669,"M (36/40)"
125679,"U (37/44)"
125690,"4 (24/26)"
125691,"6 (27/29)"
125692,"8 (30/32)"
125693,"4/6 (24/29)"
125694,"8/10 (30/35)"
125736,"EG4"
125737,"EG5"
125740,"U (35/39)"
127439,"110 ml"
127440,"110g"
127441,"120 ml"
127442,"30g"
127445,"250ml"
127451,"300g"
127452,"180g"
127454,"240g"
127483,"M (24/29)"
127487,"G (30/35)"
127493,"142g"
127494,"152ml"
127992,"M (32/35)"
128032,"P (36/38)"
128033,"EG (48/50)"
128110,"U (38/42)"
128111,"PM/44"
128112,"PM/46"
128113,"PM/48"
128114,"GGG/46"
128115,"GGG/48"
128219,"48 (SG)"
128369,"M (29/32)"
128370,"G (33/36)"
128544,"8 (37/38)"
128545,"10 (39/40)"
128546,"11 (41/42)"
128571,"00 (16/18)"
128572,"0 (19/23)"
128573,"00 (16/19)"
128574,"0 (20/23)"
128575,"39/42"
128623,"34 a 37"
128642,"34 a 39"
128643,"39 a 44"
128644,"34 a 36"
128645,"37 a 39"
129164,"RN (0-4 meses)"
129165,"BB (5-11 meses)"
129166,"PP (1-2 anos)"
129167,"P (3-5 anos)"
129168,"M (6-8 anos)"
129169,"G (9-12 anos)"
129189,"BB (5 meses - 2 anos)"
129193,"XPLUS"
129194,"BB (0-2 anos)"
129417,"02 (24/28)"
129518,"P (34/35)"
129519,"M (36/37)"
129520,"G (38/39)"
129650,"PLUS (45/49)"
129662,"0 (18/19)"
129663,"2 (20/21)"
129664,"4 (22/23)"
130043,"00 (16/17)"
130219,"PP (0-2 anos)"
130220,"G (9-11 anos)"
130249,"EG (12-14 anos)"
130250,"56C"
130251,"54D"
130398,"12 (43/44)"
130963,"XG+"
131664,"PP (7 meses a 2 anos)"
131665,"BB (0 a 6 meses)"
131677,"P Teen"
131678,"M Teen"
131679,"G Teen"
131680,"PP Teen"
131681,"36 Teen"
131682,"38 Teen"
131683,"40 Teen"
131684,"42 Teen"
131760,"P (50-52)"
131761,"M (54-56)"
131762,"G (58-60)"
131763,"EG (62-64)"
131965,"P (4-6 anos)"
131966,"M (7-9 anos)"
131967,"G (10-12 anos)"
131968,"GG (12-14 anos)"
132468,"36 a 41"
132617,"BP (56)"
132618,"BM (58)"
132619,"BG (60)"
132729,"X01"
132864,"P Normal"
132865,"P Longo"
132866,"M Normal"
132867,"M Longo"
132868,"G Normal"
132869,"G Longo"
132870,"EG Normal"
132871,"EG Longo"
132872,"XG Especial Normal"
132873,"XG Especial Longo"
132947,"32/35"
132948,"28/31"
133028,"40/44"
133053,"3G"
133423,"M/44"
133424,"M (46)"
133716,"U (0/4) Meses"
133873,"EG (44/48)"
134072,"A (P - M)"
134073,"B (G - EG)"
134098,"G/46"
134099,"G (48)"
134134,"U (38/44)"
134167,"6(39/43)"
134168,"PP- 34/35"
134169,"P - 35/36"
134170,"M - 37/38"
134171,"G - 39/40"
134172,"GG- 41/42"
134173,"EXG - 43/44"
134174,"5 (34/39)"
134288,"4G"
134297,"Único (6-10 anos)"
135306,"U (30/36)"
136122,"PP (20/22)"
136146,"BB (17/19)"
136782,"G (9-13 anos)"
137416,"58/60"
137417,"54/56"
137418,"50/52"
137419,"62/64"
137420,"U (36/42)"
138715,"U (34/37)"
138874,"EGG (54)"
138875,"EXG (56)"
138966,"U (Único)"
141653,"44 (GG)"
141654,"42 (G)"
141655,"40 (M)"
141656,"38 (P)"
141747,"N"
141748,"T"
141749,"V"
142125,"2 (24/27)"
142126,"4/6 (28/31)"
142127,"8/10 (32/35)"
146221,"PP (2-4 anos)"
147003,"M (36 a 39)"
150845,"4XG"
152588,"PS (Plus Size)"
153556,"PP (0-1 ano)"
153866,"U (42/46)"
153897,"U (40/46)"
155012,"48DD"
